index,runs,opponent,ground,date,match,Match_No,total
190,4,NewZealand,Auckland,6Feb2014,Test,180,7543
191,67,NewZealand,Auckland,6Feb2014,Test,181,7610
192,38,NewZealand,Wellington,14Feb2014,Test,182,7648
193,105,NewZealand,Wellington,14Feb2014,Test,183,7753
194,136,Bangladesh,Fatullah,26Feb2014,ODI,184,7889
195,48,SriLanka,Fatullah,28Feb2014,ODI,185,7937
196,5,Pakistan,Mirpur,2Mar2014,ODI,186,7942
198,36,Pakistan,Mirpur,21Mar2014,T20,187,7978
199,54,WestIndies,Mirpur,23Mar2014,T20,188,8032
200,57,Bangladesh,Mirpur,28Mar2014,T20,189,8089
201,23,Australia,Mirpur,30Mar2014,T20,190,8112
202,72,SouthAfrica,Mirpur,4Apr2014,T20,191,8184
203,77,SriLanka,Mirpur,6Apr2014,T20,192,8261
204,1,England,Nottingham,9Jul2014,Test,193,8262
205,8,England,Nottingham,9Jul2014,Test,194,8270
206,25,England,Lord's,17Jul2014,Test,195,8295
207,0,England,Lord's,17Jul2014,Test,196,8295
208,39,England,Southampton,27Jul2014,Test,197,8334
209,28,England,Southampton,27Jul2014,Test,198,8362
210,0,England,Manchester,7Aug2014,Test,199,8362
211,7,England,Manchester,7Aug2014,Test,200,8369
212,6,England,TheOval,15Aug2014,Test,201,8375
213,20,England,TheOval,15Aug2014,Test,202,8395
214,0,England,Cardiff,27Aug2014,ODI,203,8395
215,40,England,Nottingham,30Aug2014,ODI,204,8435
216,1,England,Birmingham,2Sep2014,ODI,205,8436
217,13,England,Leeds,5Sep2014,ODI,206,8449
218,66,England,Birmingham,7Sep2014,T20,207,8515
219,2,WestIndies,Kochi,8Oct2014,ODI,208,8517
220,62,WestIndies,Delhi,11Oct2014,ODI,209,8579
221,127,WestIndies,Dharamsala,17Oct2014,ODI,210,8706
222,22,SriLanka,Cuttack,2Nov2014,ODI,211,8728
223,49,SriLanka,Ahmedabad,6Nov2014,ODI,212,8777
224,53,SriLanka,Hyderabad(Deccan),9Nov2014,ODI,213,8830
225,66,SriLanka,Kolkata,13Nov2014,ODI,214,8896
226,139,SriLanka,Ranchi,16Nov2014,ODI,215,9035
227,115,Australia,Adelaide,9Dec2014,Test,216,9150
228,141,Australia,Adelaide,9Dec2014,Test,217,9291
229,19,Australia,Brisbane,17Dec2014,Test,218,9310
230,1,Australia,Brisbane,17Dec2014,Test,219,9311
231,169,Australia,Melbourne,26Dec2014,Test,220,9480
232,54,Australia,Melbourne,26Dec2014,Test,221,9534
233,147,Australia,Sydney,6Jan2015,Test,222,9681
234,46,Australia,Sydney,6Jan2015,Test,223,9727
235,9,Australia,Melbourne,18Jan2015,ODI,224,9736
236,4,England,Brisbane,20Jan2015,ODI,225,9740
237,3,Australia,Sydney,26Jan2015,ODI,226,9743
238,8,England,Perth,30Jan2015,ODI,227,9751
239,107,Pakistan,Adelaide,15Feb2015,ODI,228,9858
240,46,SouthAfrica,Melbourne,22Feb2015,ODI,229,9904
241,33,U.A.E.,Perth,28Feb2015,ODI,230,9937
242,33,WestIndies,Perth,6Mar2015,ODI,231,9970
243,44,Ireland,Hamilton,10Mar2015,ODI,232,10014
244,38,Zimbabwe,Auckland,14Mar2015,ODI,233,10052
245,3,Bangladesh,Melbourne,19Mar2015,ODI,234,10055
246,1,Australia,Sydney,26Mar2015,ODI,235,10056
247,14,Bangladesh,Fatullah,10Jun2015,Test,236,10070
248,1,Bangladesh,Mirpur,18Jun2015,ODI,237,10071
249,23,Bangladesh,Mirpur,21Jun2015,ODI,238,10094
250,25,Bangladesh,Mirpur,24Jun2015,ODI,239,10119
251,103,SriLanka,Galle,12Aug2015,Test,240,10222
252,3,SriLanka,Galle,12Aug2015,Test,241,10225
253,78,SriLanka,Colombo(PSS),20Aug2015,Test,242,10303
254,10,SriLanka,Colombo(PSS),20Aug2015,Test,243,10313
255,18,SriLanka,Colombo(SSC),28Aug2015,Test,244,10331
256,21,SriLanka,Colombo(SSC),28Aug2015,Test,245,10352
257,43,SouthAfrica,Dharamsala,2Oct2015,T20,246,10395
258,1,SouthAfrica,Cuttack,5Oct2015,T20,247,10396
259,11,SouthAfrica,Kanpur,11Oct2015,ODI,248,10407
260,12,SouthAfrica,Indore,14Oct2015,ODI,249,10419
261,77,SouthAfrica,Rajkot,18Oct2015,ODI,250,10496
262,138,SouthAfrica,Chennai,22Oct2015,ODI,251,10634
263,7,SouthAfrica,Wankhede,25Oct2015,ODI,252,10641
264,1,SouthAfrica,Mohali,5Nov2015,Test,253,10642
265,29,SouthAfrica,Mohali,5Nov2015,Test,254,10671
267,22,SouthAfrica,Nagpur,25Nov2015,Test,255,10693
268,16,SouthAfrica,Nagpur,25Nov2015,Test,256,10709
269,44,SouthAfrica,Delhi,3Dec2015,Test,257,10753
270,88,SouthAfrica,Delhi,3Dec2015,Test,258,10841
271,91,Australia,Perth,12Jan2016,ODI,259,10932
272,59,Australia,Brisbane,15Jan2016,ODI,260,10991
273,117,Australia,Melbourne,17Jan2016,ODI,261,11108
274,106,Australia,Canberra,20Jan2016,ODI,262,11214
275,8,Australia,Sydney,23Jan2016,ODI,263,11222
276,90,Australia,Adelaide,26Jan2016,T20,264,11312
277,59,Australia,Melbourne,29Jan2016,T20,265,11371
278,50,Australia,Sydney,31Jan2016,T20,266,11421
279,7,Bangladesh,Mirpur,24Feb2016,T20,267,11428
280,49,Pakistan,Mirpur,27Feb2016,T20,268,11477
281,56,SriLanka,Mirpur,1Mar2016,T20,269,11533
283,41,Bangladesh,Mirpur,6Mar2016,T20,270,11574
284,23,NewZealand,Nagpur,15Mar2016,T20,271,11597
285,55,Pakistan,Kolkata,19Mar2016,T20,272,11652
286,24,Bangladesh,Bengaluru,23Mar2016,T20,273,11676
287,82,Australia,Mohali,27Mar2016,T20,274,11758
288,89,WestIndies,Wankhede,31Mar2016,T20,275,11847
289,200,WestIndies,NorthSound,21Jul2016,Test,276,12047
290,44,WestIndies,Kingston,30Jul2016,Test,277,12091
291,3,WestIndies,GrosIslet,9Aug2016,Test,278,12094
292,4,WestIndies,GrosIslet,9Aug2016,Test,279,12098
294,16,WestIndies,Lauderhill,27Aug2016,T20,280,12114
296,9,NewZealand,Kanpur,22Sep2016,Test,281,12123
297,18,NewZealand,Kanpur,22Sep2016,Test,282,12141
298,9,NewZealand,Kolkata,30Sep2016,Test,283,12150
299,45,NewZealand,Kolkata,30Sep2016,Test,284,12195
300,211,NewZealand,Indore,8Oct2016,Test,285,12406
301,17,NewZealand,Indore,8Oct2016,Test,286,12423
302,85,NewZealand,Dharamsala,16Oct2016,ODI,287,12508
303,9,NewZealand,Delhi,20Oct2016,ODI,288,12517
304,154,NewZealand,Mohali,23Oct2016,ODI,289,12671
305,45,NewZealand,Ranchi,26Oct2016,ODI,290,12716
306,65,NewZealand,Visakhapatnam,29Oct2016,ODI,291,12781
307,40,England,Rajkot,9Nov2016,Test,292,12821
308,49,England,Rajkot,9Nov2016,Test,293,12870
309,167,England,Visakhapatnam,17Nov2016,Test,294,13037
310,81,England,Visakhapatnam,17Nov2016,Test,295,13118
311,62,England,Mohali,26Nov2016,Test,296,13180
312,6,England,Mohali,26Nov2016,Test,297,13186
313,235,England,Wankhede,8Dec2016,Test,298,13421
314,15,England,Chennai,16Dec2016,Test,299,13436
315,122,England,Pune,15Jan2017,ODI,300,13558
316,8,England,Cuttack,19Jan2017,ODI,301,13566
317,55,England,Kolkata,22Jan2017,ODI,302,13621
318,29,England,Kanpur,26Jan2017,T20,303,13650
319,21,England,Nagpur,29Jan2017,T20,304,13671
320,2,England,Bengaluru,1Feb2017,T20,305,13673
321,204,Bangladesh,Hyderabad(Deccan),9Feb2017,Test,306,13877
322,38,Bangladesh,Hyderabad(Deccan),9Feb2017,Test,307,13915
323,0,Australia,Pune,23Feb2017,Test,308,13915
324,13,Australia,Pune,23Feb2017,Test,309,13928
325,12,Australia,Bengaluru,4Mar2017,Test,310,13940
326,15,Australia,Bengaluru,4Mar2017,Test,311,13955
327,6,Australia,Ranchi,16Mar2017,Test,312,13961
328,81,Pakistan,Birmingham,4Jun2017,ODI,313,14042
329,0,SriLanka,TheOval,8Jun2017,ODI,314,14042
330,76,SouthAfrica,TheOval,11Jun2017,ODI,315,14118
331,96,Bangladesh,Birmingham,15Jun2017,ODI,316,14214
332,5,Pakistan,TheOval,18Jun2017,ODI,317,14219
333,32,WestIndies,PortofSpain,23Jun2017,ODI,318,14251
334,87,WestIndies,PortofSpain,25Jun2017,ODI,319,14338
335,11,WestIndies,NorthSound,30Jun2017,ODI,320,14349
336,3,WestIndies,NorthSound,2Jul2017,ODI,321,14352
337,111,WestIndies,Kingston,6Jul2017,ODI,322,14463
338,39,WestIndies,Kingston,9Jul2017,T20,323,14502
339,3,SriLanka,Galle,26Jul2017,Test,324,14505
340,103,SriLanka,Galle,26Jul2017,Test,325,14608
341,13,SriLanka,Colombo(SSC),3Aug2017,Test,326,14621
342,42,SriLanka,Pallekele,12Aug2017,Test,327,14663
343,82,SriLanka,Dambulla,20Aug2017,ODI,328,14745
344,4,SriLanka,Pallekele,24Aug2017,ODI,329,14749
345,3,SriLanka,Pallekele,27Aug2017,ODI,330,14752
346,131,SriLanka,Colombo(RPS),31Aug2017,ODI,331,14883
347,110,SriLanka,Colombo(RPS),3Sep2017,ODI,332,14993
348,82,SriLanka,Colombo(RPS),6Sep2017,T20,333,15075
349,0,Australia,Chennai,17Sep2017,ODI,334,15075
350,92,Australia,Kolkata,21Sep2017,ODI,335,15167
351,28,Australia,Indore,24Sep2017,ODI,336,15195
352,21,Australia,Bengaluru,28Sep2017,ODI,337,15216
353,39,Australia,Nagpur,1Oct2017,ODI,338,15255
354,22,Australia,Ranchi,7Oct2017,T20,339,15277
355,0,Australia,Guwahati,10Oct2017,T20,340,15277
356,121,NewZealand,Wankhede,22Oct2017,ODI,341,15398
357,29,NewZealand,Pune,25Oct2017,ODI,342,15427
358,113,NewZealand,Kanpur,29Oct2017,ODI,343,15540
359,26,NewZealand,Delhi,1Nov2017,T20,344,15566
360,65,NewZealand,Rajkot,4Nov2017,T20,345,15631
361,13,NewZealand,Thiruvananthapuram,7Nov2017,T20,346,15644
362,0,SriLanka,Kolkata,16Nov2017,Test,347,15644
363,104,SriLanka,Kolkata,16Nov2017,Test,348,15748
364,213,SriLanka,Nagpur,24Nov2017,Test,349,15961
365,243,SriLanka,Delhi,2Dec2017,Test,350,16204
366,50,SriLanka,Delhi,2Dec2017,Test,351,16254
367,5,SouthAfrica,CapeTown,5Jan2018,Test,352,16259
368,28,SouthAfrica,CapeTown,5Jan2018,Test,353,16287
369,153,SouthAfrica,Centurion,13Jan2018,Test,354,16440
370,5,SouthAfrica,Centurion,13Jan2018,Test,355,16445
371,54,SouthAfrica,Johannesburg,24Jan2018,Test,356,16499
372,41,SouthAfrica,Johannesburg,24Jan2018,Test,357,16540
373,112,SouthAfrica,Durban,1Feb2018,ODI,358,16652
374,46,SouthAfrica,Centurion,4Feb2018,ODI,359,16698
375,160,SouthAfrica,CapeTown,7Feb2018,ODI,360,16858
376,75,SouthAfrica,Johannesburg,10Feb2018,ODI,361,16933
377,36,SouthAfrica,Gqeberha,13Feb2018,ODI,362,16969
378,129,SouthAfrica,Centurion,16Feb2018,ODI,363,17098
379,26,SouthAfrica,Johannesburg,18Feb2018,T20,364,17124
380,1,SouthAfrica,Centurion,21Feb2018,T20,365,17125
381,0,Ireland,Dublin(Malahide),27Jun2018,T20,366,17125
382,9,Ireland,Dublin(Malahide),29Jun2018,T20,367,17134
383,20,England,Manchester,3Jul2018,T20,368,17154
384,47,England,Cardiff,6Jul2018,T20,369,17201
385,43,England,Bristol,8Jul2018,T20,370,17244
386,75,England,Nottingham,12Jul2018,ODI,371,17319
387,45,England,Lord's,14Jul2018,ODI,372,17364
388,71,England,Leeds,17Jul2018,ODI,373,17435
389,149,England,Birmingham,1Aug2018,Test,374,17584
390,51,England,Birmingham,1Aug2018,Test,375,17635
391,23,England,Lord's,9Aug2018,Test,376,17658
392,17,England,Lord's,9Aug2018,Test,377,17675
393,97,England,Nottingham,18Aug2018,Test,378,17772
394,103,England,Nottingham,18Aug2018,Test,379,17875
395,46,England,Southampton,30Aug2018,Test,380,17921
396,58,England,Southampton,30Aug2018,Test,381,17979
397,49,England,TheOval,7Sep2018,Test,382,18028
398,0,England,TheOval,7Sep2018,Test,383,18028
399,139,WestIndies,Rajkot,4Oct2018,Test,384,18167
400,45,WestIndies,Hyderabad(Deccan),12Oct2018,Test,385,18212
402,140,WestIndies,Guwahati,21Oct2018,ODI,386,18352
403,157,WestIndies,Visakhapatnam,24Oct2018,ODI,387,18509
404,107,WestIndies,Pune,27Oct2018,ODI,388,18616
405,16,WestIndies,Brabourne,29Oct2018,ODI,389,18632
406,33,WestIndies,Thiruvananthapuram,1Nov2018,ODI,390,18665
407,4,Australia,Brisbane,21Nov2018,T20,391,18669
409,61,Australia,Sydney,25Nov2018,T20,392,18730
410,3,Australia,Adelaide,6Dec2018,Test,393,18733
411,34,Australia,Adelaide,6Dec2018,Test,394,18767
412,123,Australia,Perth,14Dec2018,Test,395,18890
413,17,Australia,Perth,14Dec2018,Test,396,18907
414,82,Australia,Melbourne,26Dec2018,Test,397,18989
415,0,Australia,Melbourne,26Dec2018,Test,398,18989
416,23,Australia,Sydney,3Jan2019,Test,399,19012
417,3,Australia,Sydney,12Jan2019,ODI,400,19015
418,104,Australia,Adelaide,15Jan2019,ODI,401,19119
419,46,Australia,Melbourne,18Jan2019,ODI,402,19165
420,45,NewZealand,Napier,23Jan2019,ODI,403,19210
421,43,NewZealand,MountMaunganui,26Jan2019,ODI,404,19253
422,60,NewZealand,MountMaunganui,28Jan2019,ODI,405,19313
423,24,Australia,Visakhapatnam,24Feb2019,T20,406,19337
424,72,Australia,Bengaluru,27Feb2019,T20,407,19409
425,44,Australia,Hyderabad(Deccan),2Mar2019,ODI,408,19453
426,116,Australia,Nagpur,5Mar2019,ODI,409,19569
427,123,Australia,Ranchi,8Mar2019,ODI,410,19692
428,7,Australia,Mohali,10Mar2019,ODI,411,19699
429,20,Australia,Delhi,13Mar2019,ODI,412,19719
430,18,SouthAfrica,Southampton,5Jun2019,ODI,413,19737
431,82,Australia,TheOval,9Jun2019,ODI,414,19819
432,77,Pakistan,Manchester,16Jun2019,ODI,415,19896
433,67,Afghanistan,Southampton,22Jun2019,ODI,416,19963
434,72,WestIndies,Manchester,27Jun2019,ODI,417,20035
435,66,England,Birmingham,30Jun2019,ODI,418,20101
436,26,Bangladesh,Birmingham,2Jul2019,ODI,419,20127
437,34,SriLanka,Leeds,6Jul2019,ODI,420,20161
438,1,NewZealand,Manchester,9Jul2019,ODI,421,20162
439,19,WestIndies,Lauderhill,3Aug2019,T20,422,20181
440,28,WestIndies,Lauderhill,4Aug2019,T20,423,20209
441,59,WestIndies,Providence,6Aug2019,T20,424,20268
443,120,WestIndies,PortofSpain,11Aug2019,ODI,425,20388
444,114,WestIndies,PortofSpain,14Aug2019,ODI,426,20502
445,9,WestIndies,NorthSound,22Aug2019,Test,427,20511
446,51,WestIndies,NorthSound,22Aug2019,Test,428,20562
447,76,WestIndies,Kingston,30Aug2019,Test,429,20638
448,0,WestIndies,Kingston,30Aug2019,Test,430,20638
449,72,SouthAfrica,Mohali,18Sep2019,T20,431,20710
450,9,SouthAfrica,Bengaluru,22Sep2019,T20,432,20719
451,20,SouthAfrica,Visakhapatnam,2Oct2019,Test,433,20739
452,31,SouthAfrica,Visakhapatnam,2Oct2019,Test,434,20770
453,254,SouthAfrica,Pune,10Oct2019,Test,435,21024
454,12,SouthAfrica,Ranchi,19Oct2019,Test,436,21036
455,0,Bangladesh,Indore,14Nov2019,Test,437,21036
456,136,Bangladesh,Kolkata,22Nov2019,Test,438,21172
457,94,WestIndies,Hyderabad(Deccan),6Dec2019,T20,439,21266
458,19,WestIndies,Thiruvananthapuram,8Dec2019,T20,440,21285
459,70,WestIndies,Wankhede,11Dec2019,T20,441,21355
460,4,WestIndies,Chennai,15Dec2019,ODI,442,21359
461,0,WestIndies,Visakhapatnam,18Dec2019,ODI,443,21359
462,85,WestIndies,Cuttack,22Dec2019,ODI,444,21444
464,30,SriLanka,Indore,7Jan2020,T20,445,21474
465,26,SriLanka,Pune,10Jan2020,T20,446,21500
466,16,Australia,Wankhede,14Jan2020,ODI,447,21516
467,78,Australia,Rajkot,17Jan2020,ODI,448,21594
468,89,Australia,Bengaluru,19Jan2020,ODI,449,21683
469,45,NewZealand,Auckland,24Jan2020,T20,450,21728
470,11,NewZealand,Auckland,26Jan2020,T20,451,21739
471,38,NewZealand,Hamilton,29Jan2020,T20,452,21777
472,11,NewZealand,Wellington,31Jan2020,T20,453,21788
